Artist,Name,Duration,Genre,SongID
"Dion, Celine",That's The Way It Is,4:03,Rock,341125
Blink-182,All The Small Things,2:52,Rock,284166
Eiffel 65,Blue (Da Ba Dee),3:29,Electronica,426181
"Badu, Erkyah",Bag Lady,5:03,Rock,437224
Pink,There U Go,3:23,Rock,102708
Creed,Higher,5:16,Rock,128367
Nelly,(Hot S**t) Country Grammar,4:17,Rap,425922
Next,Wifey,4:03,Rock,391155
Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz,147449
Sonique,It Feels So Good,3:48,Rock,450273
"Spears, Britney",Oops!.. I Did It Again,3:30,Rock,218853
"Backstreet Boys, The",Shape Of My Heart,3:49,Rock,334582
Everclear,Wonderful,4:30,Rock,305569
Ja Rule,Between Me And You,4:05,Rap,193839
"Rimes, LeAnn",I Need You,3:42,Country,110166
Smash Mouth,Then The Morning Comes,3:04,Rock,430851
Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,Rap,381944
Jagged Edge,Let's Get Married,4:23,Rock,391001
Filter,Take A Picture,4:23,Rock,391909
"Martin, Ricky",She Bangs,4:02,Latin,199839
Mystikal,Shake Ya Ass,4:46,Rap,308415
BBMak,Back Here,3:35,Rock,180989
"Spears, Britney",From The Bottom Of My Broken Heart,4:30,Rock,239676
Third Eye Blind,Never Let You Go,3:57,Rock,168389
Red Hot Chili Peppers,Otherside,4:13,Rock,345143
Profyle,Liar,3:57,R&B,277873
Barenaked Ladies,Pinch Me,3:46,Rock,355971
Jagged Edge,He Can't Love U,3:30,Rock,155056
504 Boyz,Wobble Wobble,3:35,Rap,120162
Sting,Desert Rose,3:52,Rock,102623
Jay-Z,Big Pimpin',3:55,Rap,269919
Kid Rock,Only God Knows Why,5:27,Rock,486409
Foo Fighters,Learn To Fly,3:55,Rock,496331
"Dixie Chicks, The",Goodbye Earl,4:19,Country,416424
Guy,Dancin',4:08,R&B,173736
Lil Bow Wow,Bounce With Me,3:22,Rap,298922
Westlife,Swear It Again,4:07,Rock,468508
Train,Meet Virginia,3:55,Rock,232877
"Thomas, Carl",I Wish,3:50,Rock,408520
Hanson,This Time Around,4:14,Country,476069
"Simpson, Jessica",I Think I'm In Love With You,3:32,Pop,239354
Ludacris,What's Your Fantasy,4:16,Rap,225835
Lil' Zane,Callin' Me,3:43,Rap,413403
M2M,Don't Say You Love Me,3:41,Pop,243533
SoulDecision,Faded,3:25,Rock,309902
"Brock, Chad",Yes!,3:22,Country,275192
"Martin, Ricky",Shake Your Bon-Bon,3:08,Latin,450313
Vertical Horizon,You're A God,3:45,Rock,489431
Avant,Separated,4:13,Rock,484164
"Rimes, LeAnn",Big Deal,3:03,Country,327415
IMx,Stay The Night,3:37,Rap,299088
Dr. Dre,The Next Episode,2:38,Rap,249907
"Spears, Britney",Lucky,3:23,Rock,177448
Savage Garden,Crash And Burn,4:41,Rock,426762
Kandi,Don't Think I'm Not,3:50,Rock,271700
Sammie,I Like It,4:09,Rock,388994
Goo Goo Dolls,Broadway,3:54,Rock,239684
"Moore, Mandy",I Wanna Be With You,4:12,Pop,257155
Dr. Dre,Forgot About Dre,3:42,Rap,374110
D'Angelo,Untitled (How Does It Feel),7:10,R&B,394528
"Messina, Jo Dee",That's The Way,3:17,Country,373053
Avant,My First Love,4:28,Rock,329140
Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,317742
Da Brat,What'Chu Like,3:57,Rap,492822
DMX,Party Up (Up In Here),3:45,Rap,473472
"Dixie Chicks, The",Cowboy Take Me Away,4:51,Country,396417
"McGraw, Tim",My Next Thirty Years,3:37,Country,394543
"Tritt, Travis",Best Of Intentions,4:15,Country,260780
Alice Deejay,Better Off Alone,6:50,Electronica,297552
Hoku,Another Dumb Blonde,3:47,Pop,223370
"Houston, Whitney",I Learned From The Best,4:18,Rock,259216
Counting Crows,Hanginaround,4:07,Rock,292976
Mary Mary,Shackles (Praise You),3:12,Rock,246799
"Carey, Mariah",Crybaby,5:19,Rock,362392
"McGraw, Tim",My Best Friend,4:33,Country,478495
Sugar Ray,Falls Apart,4:15,Rock,195081
Madonna,American Pie,4:30,Rock,181319
"Jones, Donell",Where I Wanna Be,6:22,Rock,351768
"Paisley, Brad",We Danced,3:45,Country,176827
Lonestar,What About Now,3:30,Country,221797
"Backstreet Boys, The",The One,3:46,Rock,491989
"Keith, Toby",How Do You Like Me Now?!,3:29,Country,280081
"Strait, George",The Best Day,3:24,Country,189202
"Dixie Chicks, The",Without You,3:32,Country,343807
Musiq,Just Friends (Sunny),4:02,Rap,223319
"McEntire, Reba",What Do You Say,3:26,Country,184268
"Braxton, Toni",Just Be A Man About It,4:10,Rock,371017
"Iglesias, Enrique",Rhythm Divine,7:35,Latin,473567
"Fabian, Lara",I Will Love Again,3:43,Pop,425597
Bon Jovi,It's My Life,3:44,Rock,285090
"Evans, Sara",Born To Fly,5:36,Country,396123
"Chesney, Kenny",I Lost It,3:54,Country,482294
J-Shin,One Night Stand,4:34,R&B,291076
Eve,Love Is Blind,3:51,Rap,291131
Aaliyah,I Don't Wanna,4:15,Rock,489619
"Montgomery, John Michael",The Little Girl,3:52,Country,490714
"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B,178007
"Vassar, Phil",Just Another Day In Paradise,3:54,Country,291893
Ice Cube,You Can Do It,4:20,Rap,416526
"Wills, Mark",Back At One,4:00,Country,499381
Lucy Pearl,Dance Tonight,3:45,R&B,101928
"Jackson, Alan",It Must Be Love,2:53,Country,378690
"Griggs, Andy",She's More,3:19,Country,166332
No Doubt,Simple Kind Of Life,4:11,Rock,288752
"Jean, Wyclef",911,4:00,Rap,354697
Rascal Flatts,Prayin' For Daylight,3:36,Country,234332
Vitamin C,Graduation (Friends Forever),4:23,Rock,102954
"Gilman, Billy",One Voice,4:07,Country,186595
Lonestar,Smile,3:33,Country,371972
"Rogers, Kenny",Buy Me A Rose,3:46,Country,140877
"Lawrence, Tracy",Lessons Learned,2:55,Country,238833
"Strait, George",Go On,3:48,Country,332561
Sisqo,Got To Get It,3:52,Rock,253342
Baha Men,Who Let The Dogs Out,3:17,R&B,115319
"Walker, Clay",The Chain Of Love,5:03,Country,336598
"McBride, Martina",Love's The Only House,5:13,Country,121823
Amber,Sexual (Li Da Di),4:38,Rock,366919
"Tippin, Aaron",Kiss This,2:53,Country,229432
SheDaisy,I Will.. But,3:40,Country,475105
"Raye, Collin",Couldn't Last A Moment,3:40,Country,242775
Black Rob,Whoa!,4:04,Rap,154184
"Jackson, Alan",Pop A Top,3:04,Country,343377
"Black, Clint",Been There,5:28,Country,473572
Common,The Light,3:55,Rap,229401
"Vassar, Phil",Carlene,4:07,Country,424788
"Jackson, Alan",www.memory,2:36,Country,104295
Vitamin C,The Itch,3:30,Rock,294814
"Eastsidaz, The",G'D Up,4:27,Rap,344489
Ideal,Whatever,3:48,R&B,213900
"Thomas, Carl",Emotional,4:31,Rock,224160
Ginuwine,None Of Ur Friends Business,4:12,Rock,106490
"Davidson, Clay",Unconditional,3:56,Country,293757
DMX,What You Want,4:05,Rap,123851
"John, Elton",Someday Out Of The Blue,4:41,Rock,172144
Pearl Jam,Nothing As It Seems,5:20,Rock,128653
Mya,The Best Of Me,4:12,Rock,164814
"Heatherly, Eric",Flowers On The Wall,3:16,Country,440284
Eminem,Stan,5:26,Rap,232963
"McEntire, Reba",I'll Be,4:23,Country,310406
"Lopez, Jennifer",Feelin' Good,4:28,Latin,370750
"Urban, Keith",Your Everything,4:10,Country,199712
TLC,Dear Lie,4:36,Rock,189481
"Gill, Vince",Feels Like Love,4:13,Country,477872
"Houston, Whitney",Could I Have This Kiss Forever,3:54,Rock,266579
Bloodhound Gang,The Bad Touch,4:20,R&B,301509
"Williams, Robbie",Angels,3:56,Rock,257139
"Messina, Jo Dee",Because You Love Me,3:50,Country,200786
"Keith, Toby",Country Comes To Town,3:39,Country,191601
Beenie Man,Girls Dem Sugar,4:17,Reggae,301816
"Hill, Faith",Let's Make Love,4:11,Rap,104638
Kelis,Caught Out There,4:09,R&B,107770
Jay-Z,Anything,3:41,Rap,261457
3 Doors Down,Loser,4:24,Rock,398592
Brooks & Dunn,You'll Always Be Loved By Me,2:58,Country,182454
"Chesney, Kenny",What I Need To Do,4:05,Country,497846
"Stone, Angie",No More Rain (In This Cloud),4:42,R&B,459629
Da Brat,That's What I'm Looking For,3:44,Rap,410199
SheDaisy,This Woman Needs,3:20,Country,280611
Papa Roach,Last Resort,3:19,Rock,484544
"Adams, Yolanda",Open My Heart,5:30,Gospel,165357
Shyne,Bad Boyz,4:22,Rap,385845
R.E.M.,The Great Beyond,4:10,Rock,254128
"Diffie, Joe",It's Always Somethin',2:55,Country,433426
"McGraw, Tim",Some Things Never Change,3:56,Country,187089
"Henley, Don",Taking You Home,4:08,Rock,361259
Eminem,The Way I Am,4:40,Rap,212308
Nas,You Owe Me,3:51,R&B,216256
Sister Hazel,Change Your Mind,4:02,Rock,332212
Puff Daddy,Best Friend,5:33,Rap,223903
"McBride, Martina",There You Are,3:26,Country,486074
Usher,Pop Ya Collar,3:36,Rock,291382
Lil' Kim,No Matter What They Say,4:12,Rap,371210
LFO,I Don't Wanna Kiss You Goodnight,5:00,Rock,462372
SheDaisy,Deck The Halls,3:46,Country,269571
Splender,I Think God Can Explain,3:55,R&B,125133
"Simpson, Jessica",Where You Are,3:51,Rock,438282
M2M,Mirror Mirror,3:19,Pop,302161
Kumbia Kings,U Don't Love Me,3:50,R&B,412675
Joe,Treat Her Like A Lady,4:12,Rock,383556
"Blige, Mary J.",Deep Inside,5:26,Rock,133211
"Price, Kelly",You Should've Told Me,3:12,Rock,412277
Changing Faces,That Other Woman,4:00,Rock,109728
"Wright, Chely",It Was,3:51,R&B,388200
Limp Bizkit,Rollin',4:04,Rock,305019
Hot Boys,I Need A Hot Girl,4:16,Rap,368588
Jay-Z,Do It Again (Put Ya Hands Up),3:47,Rap,182103
"Adkins, Trace",More,3:05,Country,131506
"Dixie Chicks, The",Cold Day In July,5:12,Country,307795
"Price, Kelly",As We Lay,6:20,Rock,273098
DMX,What's My Name,3:50,Rap,246241
"Martin, Ricky",Private Emotion,4:02,Latin,386291
Nine Days,If I Am,4:18,Rock,304487
"Blige, Mary J.",Give Me You,5:00,Rock,165627
Red Hot Chili Peppers,Californication,5:21,Rock,441642
Third Eye Blind,Deep Inside Of You,4:10,Rock,229606
"Brooks, Garth",Do What You Gotta Do,2:56,Country,176841
"Offspring, The",Original Prankster,3:42,Rock,340782
"Anthony, Marc",My Baby You,3:59,Latin,285280
"Houston, Whitney","Same Script, Different Cast",4:45,Rock,115124
D'Angelo,Left & Right,4:35,R&B,410098
"Kravitz, Lenny",I Belong To You,4:17,Rock,256675
"Loveless, Patty",That's The Kind Of Mood I'm In,3:27,Country,155806
Q-Tip,Breathe And Stop,4:06,Rock,318763
"Rimes, LeAnn",Can't Fight The Moonlight,3:33,Country,140862
Lil Wayne,Tha Block Is Hot,4:13,Rap,209235
2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,384629
"Wallflowers, The",Sleepwalker,3:29,Rock,120415
Drama,"Left, Right, Left",3:37,Rap,433043
Limp Bizkit,N 2 Gether Now,3:55,Rock,378409
Lox,"Ryde or Die, Chick",3:56,Rap,107974
Ying Yang Twins,Whistle While You Twurk,4:19,Rap,448654
"Walker, Clay","Live, Laugh, Love",4:06,Country,274697
Metallica,No Leaf Clover (Live),5:43,Rock,435995
Yankee Grey,Another Nine Minutes,3:10,Country,368237
"Bega, Lou",Tricky Tricky ,3:23,Rock,255727
Big Punisher,It's So Hard,3:25,Rap,343658
"Worley, Darryl",When You Need My Love,3:35,Country,282689
Lil' Kim,How Many Licks?,3:50,Rap,491980
"Clark, Terri",A Little Gasoline,3:07,Country,351624
"Brock, Chad",A Country Boy Can Survive,3:54,Country,109082
"Cagle, Chris",My Love Goes On And On,3:02,Country,461700
"Byrd, Tracy",Put Your Hand In Mine,4:30,Country,100792
Metallica,I Disappear,4:26,Rock,113937
Jay-Z,Hey Papi,3:40,Rap,116411
Fatboy Slim,The Rockafeller Skank,4:00,Electronica,320504
"Levert, Gerald",Mr. Too Damn Good,4:06,R&B,163438
"McKnight, Brian",Stay Or Let It Go,4:32,Rock,423995
"Allan, Gary",Smoke Rings In The Dark,4:18,Country,348932
Ginuwine,The Best Man I Can Be,4:06,Rock,378014
Before Dark,Monica,4:04,Rock,211554
"Estefan, Gloria",No Me Dejes De Querer,3:25,Rock,308812
Stone Temple Pilots,Sour Girl,4:16,Rock,409925
Montgomery Gentry,Daddy Won't Sell The Farm,4:18,Country,193373
"Cyrus, Billy Ray",You Won't Be Lonely Now,3:45,Country,217021
Clark Family Experience,Meanwhile Back At The Ranch,2:56,Country,495953
"Thomas, Carl",Summer Rain,4:57,Rock,121925
"Yearwood, Trisha",Real Live Woman,3:55,Country,188381
Trick Daddy,Shut Up,4:17,Rap,392745
"Moore, Chante",Straight Up,3:40,Rock,255898
Cam'ron,What Means The World To You,4:38,Rap,166718
Juvenile,U Understand,3:51,Rap,152694
"Hollister, Dave",Can't Stay,6:17,Rock,422333
Tamia,Can't Go For That,3:38,Rock,493510
LFO,West Side Story,3:27,Rock,134654
"Paisley, Brad",Me Neither,3:19,Country,300383
"Carter, Torrey",Take That,3:43,Rock,180814
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,102640
Madison Avenue,Don't Call Me Baby,3:44,Electronica,185346
Eve,Got It All,3:48,Rap,370454
Limp Bizkit,Re-Arranged,4:08,Rock,407809
"Spencer, Tracie",Still In My Heart,4:11,Rock,436727
Nu Flavor,3 Little Words,3:54,R&B,474347
Tamar,If You Don't Wanna Love Me,4:02,Rock,386853
"Levert, Gerald",Baby U Are,4:10,R&B,381157
"Hart, Beth",L.A. Song,3:47,Country,497606
"Diffie, Joe",The Quittin' Kind,3:23,Country,475950
Funkmaster Flex,Do You,4:14,Rap,256830
"Price, Kelly",Love Sets You Free,3:46,Rock,331671
En Vogue,Riddle,5:10,Rock,351022
"Herndon, Ty",No Mercy,4:43,Country,391430
Anastacia,I'm Outta Love,4:01,Pop,442240
Trina,Pull Over,2:58,Rap,375514
Lil' Mo,Ta Da,4:17,Rap,346154
A*Teens,Dancing Queen,3:44,Pop,101456
"Sheist, Shade",Where I Wanna Be,4:16,Rap,154507
De La Soul,All Good?,5:02,Rap,295591
"Larrieux, Amel",Get Up,4:02,R&B,247440
"Braxton, Toni",Spanish Guitar,4:24,Rock,335169
Tuesday,I Know,4:06,Rock,318603
LL Cool J,Imagine That,4:00,Rap,303035
Master P,Souljas,3:33,Rap,215081
Ghostface Killah,Cherchez LaGhost,3:04,R&B,471121
"Smith, Will",Freakin' It,3:58,Rap,474270
Zombie Nation,Kernkraft 400,3:30,Rock,325576
"Eastsidaz, The",Got Beef,3:58,Rap,331338
Fragma,Toca's Miracle,3:22,R&B,172638
