year,Artist,track,time,Genre,released.date,Song.id
2000,Red Hot Chili Peppers,Otherside,4:13,Rock,2000/2/12,188973
2000,Profyle,Liar,3:57,R&B,2000/9/16,302524
2000,Barenaked Ladies,Pinch Me,3:46,Rock,2000/9/9,254468
2000,Jagged Edge,He Can't Love U,3:30,Rock,1999/12/11,250506
2000,504 Boyz,Wobble Wobble,3:35,Rap,2000/4/15,267289
2000,Sting,Desert Rose,3:52,Rock,2000/5/13,365874
2000,Jay-Z,Big Pimpin',3:55,Rap,2000/4/22,217251
2000,Kid Rock,Only God Knows Why,5:27,Rock,2000/2/19,441778
2000,Foo Fighters,Learn To Fly,3:55,Rock,1999/10/16,296204
2000,"Dixie Chicks, The",Goodbye Earl,4:19,Country,2000/3/18,134833
2000,Guy,Dancin',4:08,R&B,1999/12/18,343239
2000,Lil Bow Wow,Bounce With Me,3:22,Rap,2000/8/19,355092
2000,Westlife,Swear It Again,4:07,Rock,2000/4/1,211573
2000,Train,Meet Virginia,3:55,Rock,1999/10/9,418111
2000,"Thomas, Carl",I Wish,3:50,Rock,2000/3/25,410080
2000,Hanson,This Time Around,4:14,Country,2000/4/22,432040
2000,"Simpson, Jessica",I Think I'm In Love With You,3:32,Pop,2000/7/1,435955
2000,Ludacris,What's Your Fantasy,4:16,Rap,2000/9/30,174093
2000,Lil' Zane,Callin' Me,3:43,Rap,2000/7/29,364730
2000,M2M,Don't Say You Love Me,3:41,Pop,1999/11/20,303082
2000,SoulDecision,Faded,3:25,Rock,2000/7/8,371519
2000,"Brock, Chad",Yes!,3:22,Country,2000/4/8,391359
2000,"Martin, Ricky",Shake Your Bon-Bon,3:08,Latin,1999/11/20,203352
2000,Vertical Horizon,You're A God,3:45,Rock,2000/8/26,373429
2000,Avant,Separated,4:13,Rock,2000/4/29,416717
2000,"Rimes, LeAnn",Big Deal,3:03,Country,1999/10/16,121635
2000,IMx,Stay The Night,3:37,Rap,1999/10/9,400401
2000,Dr. Dre,The Next Episode,2:38,Rap,2000/5/27,181536
2000,"Spears, Britney",Lucky,3:23,Rock,2000/8/12,463458
2000,Savage Garden,Crash And Burn,4:41,Rock,2000/4/8,180784
2000,Kandi,Don't Think I'm Not,3:50,Rock,2000/8/5,176399
2000,Sammie,I Like It,4:09,Rock,2000/1/29,381151
2000,Goo Goo Dolls,Broadway,3:54,Rock,2000/4/22,172453
2000,"Moore, Mandy",I Wanna Be With You,4:12,Pop,2000/6/17,254231
2000,Dr. Dre,Forgot About Dre,3:42,Rap,2000/1/22,197553
2000,D'Angelo,Untitled (How Does It Feel),7:10,R&B,2000/1/22,478675
2000,"Messina, Jo Dee",That's The Way,3:17,Country,2000/6/24,343665
2000,Avant,My First Love,4:28,Rock,2000/11/4,216988
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000/4/8,295235
2000,Da Brat,What'Chu Like,3:57,Rap,2000/6/3,455237
2000,DMX,Party Up (Up In Here),3:45,Rap,2000/2/26,226907
2000,"Dixie Chicks, The",Cowboy Take Me Away,4:51,Country,1999/11/27,245631
2000,"McGraw, Tim",My Next Thirty Years,3:37,Country,2000/10/21,242705
2000,"Tritt, Travis",Best Of Intentions,4:15,Country,2000/8/19,127953
2000,Alice Deejay,Better Off Alone,6:50,Electronica,2000/4/8,471457
2000,Hoku,Another Dumb Blonde,3:47,Pop,2000/2/19,454935
2000,"Houston, Whitney",I Learned From The Best,4:18,Rock,2000/2/19,358046
2000,Counting Crows,Hanginaround,4:07,Rock,1999/11/6,152461
2000,Mary Mary,Shackles (Praise You),3:12,Rock,2000/3/25,314238
2000,"Carey, Mariah",Crybaby,5:19,Rock,2000/6/24,312158
2000,"McGraw, Tim",My Best Friend,4:33,Country,1999/11/27,467678
2000,Sugar Ray,Falls Apart,4:15,Rock,2000/1/15,342556
2000,Madonna,American Pie,4:30,Rock,2000/2/19,485539
2000,"Jones, Donell",Where I Wanna Be,6:22,Rock,2000/4/22,421470
2000,"Paisley, Brad",We Danced,3:45,Country,2000/10/14,342536
2000,Lonestar,What About Now,3:30,Country,2000/6/10,386335
2000,"Backstreet Boys, The",The One,3:46,Rock,2000/5/27,298955
2000,"Keith, Toby",How Do You Like Me Now?!,3:29,Country,2000/1/29,215811
2000,"Strait, George",The Best Day,3:24,Country,2000/1/29,220869
2000,"Dixie Chicks, The",Without You,3:32,Country,2000/10/7,164712
2000,Musiq,Just Friends (Sunny),4:02,Rap,2000/10/14,246942
2000,"McEntire, Reba",What Do You Say,3:26,Country,1999/10/30,379322
2000,"Braxton, Toni",Just Be A Man About It,4:10,Rock,2000/7/29,240517
2000,"Iglesias, Enrique",Rhythm Divine,7:35,Latin,1999/12/4,448871
2000,"Fabian, Lara",I Will Love Again,3:43,Pop,2000/6/10,101321
2000,Bon Jovi,It's My Life,3:44,Rock,2000/8/12,235456
2000,"Evans, Sara",Born To Fly,5:36,Country,2000/10/21,462252
2000,"Chesney, Kenny",I Lost It,3:54,Country,2000/10/21,329935
2000,J-Shin,One Night Stand,4:34,R&B,1999/12/25,107889
2000,Eve,Love Is Blind,3:51,Rap,2000/1/8,324696
2000,Aaliyah,I Don't Wanna,4:15,Rock,2000/1/29,135506
2000,"Montgomery, John Michael",The Little Girl,3:52,Country,2000/9/9,355279
2000,"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B,2000/8/26,183724
2000,"Vassar, Phil",Just Another Day In Paradise,3:54,Country,2000/9/30,390274
2000,Ice Cube,You Can Do It,4:20,Rap,1999/12/4,240340
2000,"Wills, Mark",Back At One,4:00,Country,2000/1/15,166110
2000,Lucy Pearl,Dance Tonight,3:45,R&B,2000/5/20,376430
2000,"Jackson, Alan",It Must Be Love,2:53,Country,2000/6/24,466632
2000,"Griggs, Andy",She's More,3:19,Country,2000/3/11,242261
2000,No Doubt,Simple Kind Of Life,4:11,Rock,2000/7/1,403918
2000,"Jean, Wyclef",911,4:00,Rap,2000/10/7,194346
2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,2000/5/6,417782
2000,Vitamin C,Graduation (Friends Forever),4:23,Rock,2000/4/15,237035
2000,"Gilman, Billy",One Voice,4:07,Country,2000/6/17,478774
2000,Lonestar,Smile,3:33,Country,1999/12/18,224643
2000,"Rogers, Kenny",Buy Me A Rose,3:46,Country,2000/3/11,354119
2000,"Lawrence, Tracy",Lessons Learned,2:55,Country,2000/1/29,366727
2000,"Strait, George",Go On,3:48,Country,2000/8/26,432099
2000,Sisqo,Got To Get It,3:52,Rock,1999/11/20,488607
2000,Baha Men,Who Let The Dogs Out,3:17,R&B,2000/7/22,145299
2000,"Walker, Clay",The Chain Of Love,5:03,Country,2000/4/15,215505
2000,"McBride, Martina",Love's The Only House,5:13,Country,2000/2/5,231917
2000,Amber,Sexual (Li Da Di),4:38,Rock,1999/7/17,234507
2000,"Tippin, Aaron",Kiss This,2:53,Country,2000/8/26,261457
2000,SheDaisy,I Will.. But,3:40,Country,2000/7/15,412294
2000,"Raye, Collin",Couldn't Last A Moment,3:40,Country,2000/3/18,143378
2000,Black Rob,Whoa!,4:04,Rap,2000/3/4,290463
2000,"Jackson, Alan",Pop A Top,3:04,Country,1999/11/13,432777
2000,"Black, Clint",Been There,5:28,Country,2000/2/19,433247
2000,Common,The Light,3:55,Rap,2000/8/5,315213
2000,"Vassar, Phil",Carlene,4:07,Country,2000/3/4,269814
2000,"Jackson, Alan",www.memory,2:36,Country,2000/11/4,361276
2000,Vitamin C,The Itch,3:30,Rock,2000/12/2,181743
2000,"Eastsidaz, The",G'D Up,4:27,Rap,2000/1/8,238413
2000,Ideal,Whatever,3:48,R&B,2000/6/10,124836
2000,"Thomas, Carl",Emotional,4:31,Rock,2000/11/25,261552
2000,Ginuwine,None Of Ur Friends Business,4:12,Rock,1999/12/11,328279
2000,"Davidson, Clay",Unconditional,3:56,Country,2000/3/25,332224
2000,DMX,What You Want,4:05,Rap,2000/7/1,192770
2000,"John, Elton",Someday Out Of The Blue,4:41,Rock,2000/4/22,237809
2000,Pearl Jam,Nothing As It Seems,5:20,Rock,2000/5/13,373391
2000,Mya,The Best Of Me,4:12,Rock,2000/4/15,387731
2000,"Heatherly, Eric",Flowers On The Wall,3:16,Country,2000/4/29,436950
2000,Eminem,Stan,5:26,Rap,2000/11/4,385659
2000,"McEntire, Reba",I'll Be,4:23,Country,2000/5/13,284452
2000,"Lopez, Jennifer",Feelin' Good,4:28,Latin,2000/2/19,275219
2000,"Urban, Keith",Your Everything,4:10,Country,2000/7/15,363620
2000,TLC,Dear Lie,4:36,Rock,2000/2/12,255374
2000,"Gill, Vince",Feels Like Love,4:13,Country,2000/9/2,180803
2000,"Houston, Whitney",Could I Have This Kiss Forever,3:54,Rock,2000/6/17,118295
2000,Bloodhound Gang,The Bad Touch,4:20,R&B,2000/3/18,176634
2000,"Williams, Robbie",Angels,3:56,Rock,1999/11/20,192169
2000,"Messina, Jo Dee",Because You Love Me,3:50,Country,2000/1/29,128680
2000,"Keith, Toby",Country Comes To Town,3:39,Country,2000/8/5,263983
2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,2000/10/21,146084
2000,"Hill, Faith",Let's Make Love,4:11,Rap,2000/8/12,324870
2000,Kelis,Caught Out There,4:09,R&B,1999/12/4,383067
2000,Jay-Z,Anything,3:41,Rap,2000/2/26,359298
2000,3 Doors Down,Loser,4:24,Rock,2000/10/21,120144
2000,Brooks & Dunn,You'll Always Be Loved By Me,2:58,Country,2000/6/10,381671
2000,"Chesney, Kenny",What I Need To Do,4:05,Country,2000/4/1,131119
2000,"Stone, Angie",No More Rain (In This Cloud),4:42,R&B,1999/12/25,177255
2000,Da Brat,That's What I'm Looking For,3:44,Rap,2000/2/26,121013
2000,SheDaisy,This Woman Needs,3:20,Country,2000/2/5,262168
2000,Papa Roach,Last Resort,3:19,Rock,2000/7/29,349079
2000,"Adams, Yolanda",Open My Heart,5:30,Gospel,2000/8/26,460461
2000,Shyne,Bad Boyz,4:22,Rap,2000/9/9,364899
2000,R.E.M.,The Great Beyond,4:10,Rock,1999/12/25,243757
2000,"Diffie, Joe",It's Always Somethin',2:55,Country,2000/8/12,335925
2000,"McGraw, Tim",Some Things Never Change,3:56,Country,2000/5/13,146974
2000,"Henley, Don",Taking You Home,4:08,Rock,2000/6/24,301486
2000,Eminem,The Way I Am,4:40,Rap,2000/8/26,364244
2000,Nas,You Owe Me,3:51,R&B,2000/3/25,201193
2000,Sister Hazel,Change Your Mind,4:02,Rock,2000/7/15,298577
2000,Puff Daddy,Best Friend,5:33,Rap,2000/2/12,205755
2000,"McBride, Martina",There You Are,3:26,Country,2000/9/9,282701
2000,Usher,Pop Ya Collar,3:36,Rock,2000/11/4,330098
2000,Lil' Kim,No Matter What They Say,4:12,Rap,2000/7/15,313060
2000,LFO,I Don't Wanna Kiss You Goodnight,5:00,Rock,2000/4/15,234252
2000,SheDaisy,Deck The Halls,3:46,Country,1999/12/25,340410
2000,Splender,I Think God Can Explain,3:55,R&B,2000/6/10,187973
2000,"Simpson, Jessica",Where You Are,3:51,Rock,2000/4/1,362680
2000,M2M,Mirror Mirror,3:19,Pop,2000/4/1,159476
2000,Kumbia Kings,U Don't Love Me,3:50,R&B,2000/3/4,156008
2000,Joe,Treat Her Like A Lady,4:12,Rock,2000/8/5,400069
2000,"Blige, Mary J.",Deep Inside,5:26,Rock,1999/11/13,339642
2000,"Price, Kelly",You Should've Told Me,3:12,Rock,2000/9/23,437331
2000,Changing Faces,That Other Woman,4:00,Rock,2000/9/30,191804
2000,"Wright, Chely",It Was,3:51,R&B,2000/3/4,281750
2000,Limp Bizkit,Rollin',4:04,Rock,2000/11/11,408046
2000,Hot Boys,I Need A Hot Girl,4:16,Rap,2000/2/19,272690
2000,Jay-Z,Do It Again (Put Ya Hands Up),3:47,Rap,2000/1/15,401045
2000,"Adkins, Trace",More,3:05,Country,2000/4/29,381347
2000,"Dixie Chicks, The",Cold Day In July,5:12,Country,2000/6/24,317610
2000,"Price, Kelly",As We Lay,6:20,Rock,2000/7/15,213554
2000,DMX,What's My Name,3:50,Rap,2000/1/15,294176
2000,"Martin, Ricky",Private Emotion,4:02,Latin,2000/3/11,411015
2000,Nine Days,If I Am,4:18,Rock,2000/12/2,334010
2000,"Blige, Mary J.",Give Me You,5:00,Rock,2000/4/15,223933
2000,Red Hot Chili Peppers,Californication,5:21,Rock,2000/7/29,496115
2000,Third Eye Blind,Deep Inside Of You,4:10,Rock,2000/9/2,163267
2000,"Brooks, Garth",Do What You Gotta Do,2:56,Country,2000/2/19,455062
2000,"Offspring, The",Original Prankster,3:42,Rock,2000/11/25,201277
2000,"Anthony, Marc",My Baby You,3:59,Latin,2000/9/16,276486
2000,"Houston, Whitney","Same Script, Different Cast",4:45,Rock,2000/6/17,133539
2000,D'Angelo,Left & Right,4:35,R&B,1999/12/11,310268
2000,"Kravitz, Lenny",I Belong To You,4:17,Rock,2000/3/25,201280
2000,"Loveless, Patty",That's The Kind Of Mood I'm In,3:27,Country,2000/9/16,463809
2000,Q-Tip,Breathe And Stop,4:06,Rock,2000/1/22,457881
2000,"Rimes, LeAnn",Can't Fight The Moonlight,3:33,Country,2000/9/9,457461
2000,Lil Wayne,Tha Block Is Hot,4:13,Rap,1999/12/4,339892
2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,2000/2/26,445632
2000,"Wallflowers, The",Sleepwalker,3:29,Rock,2000/10/28,277777
2000,Drama,"Left, Right, Left",3:37,Rap,2000/2/12,242868
2000,Limp Bizkit,N 2 Gether Now,3:55,Rock,1999/12/4,372889
2000,Lox,"Ryde or Die, Chick",3:56,Rap,2000/3/18,426720
2000,Ying Yang Twins,Whistle While You Twurk,4:19,Rap,2000/3/18,373808
2000,"Walker, Clay","Live, Laugh, Love",4:06,Country,1999/12/4,428966
2000,Metallica,No Leaf Clover (Live),5:43,Rock,2000/2/12,446441
2000,Yankee Grey,Another Nine Minutes,3:10,Country,2000/4/29,416021
2000,"Bega, Lou",Tricky Tricky ,3:23,Rock,2000/1/29,224293
2000,Big Punisher,It's So Hard,3:25,Rap,2000/4/22,251486
2000,"Worley, Darryl",When You Need My Love,3:35,Country,2000/6/17,472030
2000,Lil' Kim,How Many Licks?,3:50,Rap,2000/11/25,469604
2000,"Clark, Terri",A Little Gasoline,3:07,Country,2000/12/16,463150
2000,"Brock, Chad",A Country Boy Can Survive,3:54,Country,2000/1/1,332635
2000,"Cagle, Chris",My Love Goes On And On,3:02,Country,2000/10/21,235418
2000,"Byrd, Tracy",Put Your Hand In Mine,4:30,Country,2000/1/29,219299
2000,Metallica,I Disappear,4:26,Rock,2000/5/13,216657
2000,Jay-Z,Hey Papi,3:40,Rap,2000/8/12,332078
2000,Fatboy Slim,The Rockafeller Skank,4:00,Electronica,1999/11/13,133050
2000,"Levert, Gerald",Mr. Too Damn Good,4:06,R&B,2000/3/18,167749
2000,"McKnight, Brian",Stay Or Let It Go,4:32,Rock,2000/2/26,319488
2000,"Allan, Gary",Smoke Rings In The Dark,4:18,Country,2000/1/22,142397
2000,Ginuwine,The Best Man I Can Be,4:06,Rock,2000/1/8,318035
2000,Before Dark,Monica,4:04,Rock,2000/5/20,108820
2000,"Estefan, Gloria",No Me Dejes De Querer,3:25,Rock,2000/6/10,482096
2000,Stone Temple Pilots,Sour Girl,4:16,Rock,2000/7/8,288478
2000,Montgomery Gentry,Daddy Won't Sell The Farm,4:18,Country,2000/3/4,358595
2000,"Cyrus, Billy Ray",You Won't Be Lonely Now,3:45,Country,2000/9/23,108234
2000,Clark Family Experience,Meanwhile Back At The Ranch,2:56,Country,2000/11/18,141593
2000,"Thomas, Carl",Summer Rain,4:57,Rock,2000/9/23,296048
2000,"Yearwood, Trisha",Real Live Woman,3:55,Country,2000/4/1,158525
2000,Trick Daddy,Shut Up,4:17,Rap,2000/5/20,405449
2000,"Moore, Chante",Straight Up,3:40,Rock,2000/10/28,254761
2000,Cam'ron,What Means The World To You,4:38,Rap,2000/10/14,406102
2000,Juvenile,U Understand,3:51,Rap,2000/2/5,253098
2000,"Hollister, Dave",Can't Stay,6:17,Rock,2000/3/25,427718
2000,Tamia,Can't Go For That,3:38,Rock,2000/9/16,158288
2000,LFO,West Side Story,3:27,Rock,2000/8/5,444593
2000,"Paisley, Brad",Me Neither,3:19,Country,2000/5/13,318962
2000,"Carter, Torrey",Take That,3:43,Rock,2000/6/24,452823
2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,2000/9/2,411265
2000,Madison Avenue,Don't Call Me Baby,3:44,Electronica,2000/7/8,433152
2000,Eve,Got It All,3:48,Rap,2000/7/15,252216
2000,Limp Bizkit,Re-Arranged,4:08,Rock,1999/12/4,137581
2000,"Spencer, Tracie",Still In My Heart,4:11,Rock,2000/3/4,299315
2000,Nu Flavor,3 Little Words,3:54,R&B,2000/6/3,216643
2000,Tamar,If You Don't Wanna Love Me,4:02,Rock,2000/3/25,374574
2000,"Levert, Gerald",Baby U Are,4:10,R&B,2000/8/19,171598
2000,"Hart, Beth",L.A. Song,3:47,Country,1999/11/27,202320
2000,"Diffie, Joe",The Quittin' Kind,3:23,Country,2000/1/1,376909
2000,Funkmaster Flex,Do You,4:14,Rap,2000/11/11,393650
2000,"Price, Kelly",Love Sets You Free,3:46,Rock,2000/5/13,193858
2000,En Vogue,Riddle,5:10,Rock,2000/6/17,198518
2000,"Herndon, Ty",No Mercy,4:43,Country,2000/3/18,396047
2000,Anastacia,I'm Outta Love,4:01,Pop,2000/4/1,466468
2000,Trina,Pull Over,2:58,Rap,2000/9/9,425684
2000,Lil' Mo,Ta Da,4:17,Rap,2000/8/12,111723
2000,A*Teens,Dancing Queen,3:44,Pop,2000/7/8,145375
2000,"Sheist, Shade",Where I Wanna Be,4:16,Rap,2000/11/11,191383
2000,De La Soul,All Good?,5:02,Rap,2000/12/23,489283
2000,"Larrieux, Amel",Get Up,4:02,R&B,2000/3/4,385870
2000,"Braxton, Toni",Spanish Guitar,4:24,Rock,2000/12/2,437934
2000,Tuesday,I Know,4:06,Rock,2000/12/30,375739
2000,LL Cool J,Imagine That,4:00,Rap,2000/8/12,248846
2000,Master P,Souljas,3:33,Rap,2000/11/18,158074
2000,Ghostface Killah,Cherchez LaGhost,3:04,R&B,2000/8/5,296340
2000,"Smith, Will",Freakin' It,3:58,Rap,2000/2/12,224553
2000,Zombie Nation,Kernkraft 400,3:30,Rock,2000/9/2,323507
2000,"Eastsidaz, The",Got Beef,3:58,Rap,2000/7/1,397334
2000,Fragma,Toca's Miracle,3:22,R&B,2000/10/28,447651
